Date,Product_Name,Product_Price,Quantity,Total,Month,Quantity_Monthly,Category
2025-01-01,AIR BIASA,5000.0,0.0,0,1,4.0,Sedikit
2025-01-01,AIR MINERAL (BESAR),7000.0,14.0,98000,1,277.0,Banyak
2025-01-01,AIR MINERAL (KECIL),5000.0,0.0,0,1,3.0,Sedikit
2025-01-01,ALVREDO PASTA,35000.0,0.0,0,1,7.0,Sedikit
2025-01-01,AMERICANO,27000.0,8.0,216000,1,174.0,Banyak
2025-01-01,APPLE FIZ,25000.0,0.0,0,1,11.0,Sedikit
2025-01-01,APPLE TEA,21000.0,2.0,42000,1,25.0,Sedang
2025-01-01,BANANAS COFFEE,28000.0,0.0,0,1,5.0,Sedikit
2025-01-01,BERRY TEA,21000.0,0.0,0,1,27.0,Sedang
2025-01-01,BISCOFF BUTTER,28000.0,1.0,28000,1,100.0,Banyak
2025-01-01,BLACKFOREST,28000.0,0.0,0,1,32.0,Sedang
2025-01-01,BLUE PARADISE,23000.0,0.0,0,1,11.0,Sedikit
2025-01-01,BUTTERSCOTH LATTE,25000.0,11.0,275000,1,148.0,Banyak
2025-01-01,CAKE VELVET,24000.0,1.0,24000,1,44.0,Banyak
2025-01-01,CAPPUCINO,30000.0,0.0,0,1,50.0,Banyak
2025-01-01,CARAMEL MACCHIATO,25000.0,0.0,0,1,63.0,Banyak
2025-01-01,CHEESECAKE,26000.0,0.0,0,1,27.0,Sedang
2025-01-01,CHESEECAKE LATTE,25000.0,2.0,50000,1,54.0,Banyak
2025-01-01,CHICKEN KATSU,30000.0,0.0,0,1,50.0,Banyak
2025-01-01,CHURROS,25000.0,1.0,25000,1,22.0,Sedang
2025-01-01,CIRENG,18000.0,4.0,72000,1,97.0,Banyak
2025-01-01,COFFEE LATTE,30000.0,4.0,120000,1,71.0,Banyak
2025-01-01,COOKIES N CREAM,25000.0,1.0,25000,1,32.0,Sedang
2025-01-01,CROFFLE ICE CREAM,26000.0,0.0,0,1,44.0,Banyak
2025-01-01,DARK CHOCOLATE,24000.0,4.0,96000,1,72.0,Banyak
2025-01-01,ESPRESSO,19000.0,0.0,0,1,0.0,Sedikit
2025-01-01,FRENCH FRIES,19000.0,3.0,57000,1,75.0,Banyak
2025-01-01,FRIED RICE ERTHREE,28000.0,2.0,56000,1,62.0,Banyak
2025-01-01,HAZELNUT LATTE,23000.0,4.0,92000,1,49.0,Banyak
2025-01-01,JAPANESE CHICKEN CURRY,31000.0,1.0,31000,1,43.0,Banyak
2025-01-01,JAVANESE,33000.0,0.0,0,1,5.0,Sedikit
2025-01-01,KEBAB,15000.0,1.0,15000,1,30.0,Sedang
2025-01-01,KOPI CREAM,23000.0,10.0,230000,1,161.0,Banyak
2025-01-01,LOVELY,25000.0,0.0,0,1,1.0,Sedikit
2025-01-01,LUMPIA,18000.0,3.0,54000,1,48.0,Banyak
2025-01-01,LYCHEE TEA,21000.0,2.0,42000,1,100.0,Banyak
2025-01-01,MANGO TEA,21000.0,1.0,21000,1,19.0,Sedang
2025-01-01,MATCHA CLOUD,24000.0,3.0,72000,1,89.0,Banyak
2025-01-01,MILO CREAM,25000.0,8.0,200000,1,143.0,Banyak
2025-01-01,MIX PLATTER,27000.0,2.0,54000,1,94.0,Banyak
2025-01-01,NAKTAMALA,27000.0,0.0,0,1,13.0,Sedikit
2025-01-01,PANDAN LATTE,23000.0,2.0,46000,1,49.0,Banyak
2025-01-01,PEACH TEA,21000.0,0.0,0,1,23.0,Sedang
2025-01-01,PEMPEK,20000.0,2.0,40000,1,67.0,Banyak
2025-01-01,PICCOLO,27000.0,1.0,27000,1,9.0,Sedikit
2025-01-01,PISANG KEJU,20000.0,2.0,40000,1,77.0,Banyak
2025-01-01,RICE BEEF BLACKPAPER,33000.0,1.0,33000,1,29.0,Sedang
2025-01-01,RICE BEEF BULGOGI,33000.0,0.0,0,1,55.0,Banyak
2025-01-01,RISOL MAYO,20000.0,0.0,0,1,45.0,Banyak
2025-01-01,ROTI BAKAR,16000.0,0.0,0,1,58.0,Banyak
2025-01-01,SEA SALTED CARAMEL LATTE,28000.0,1.0,28000,1,29.0,Sedang
2025-01-01,SIGNATURE ERTHREE COFFEE,23000.0,21.0,483000,1,364.0,Banyak
2025-01-01,SINGKONG,18000.0,2.0,36000,1,63.0,Banyak
2025-01-01,SPAGHETTI BOLOGNESE,32000.0,1.0,32000,1,17.0,Sedang
2025-01-01,SPAGHETTI BRULLE,32000.0,2.0,64000,1,22.0,Sedang
2025-01-01,SWEET HONEY KARAGE,30000.0,2.0,60000,1,60.0,Banyak
2025-01-01,TARO,24000.0,0.0,0,1,18.0,Sedang
2025-01-01,TIRAMISSYOU LATTE,28000.0,0.0,0,1,11.0,Sedikit
2025-01-01,TROPICAL MANGO,23000.0,2.0,46000,1,19.0,Sedang
2025-01-01,V60,30000.0,1.0,30000,1,26.0,Sedang
2025-01-01,VANILA REGAL,24000.0,0.0,0,1,19.0,Sedang
2025-01-01,VIETNAM DRIP,25000.0,0.0,0,1,40.0,Banyak
2025-01-02,AIR BIASA,5000.0,0.0,0,1,4.0,Sedikit
2025-01-02,AIR MINERAL (BESAR),7000.0,12.0,84000,1,277.0,Banyak
2025-01-02,AIR MINERAL (KECIL),5000.0,0.0,0,1,3.0,Sedikit
2025-01-02,ALVREDO PASTA,35000.0,0.0,0,1,7.0,Sedikit
2025-01-02,AMERICANO,27000.0,2.0,54000,1,174.0,Banyak
2025-01-02,APPLE FIZ,25000.0,1.0,25000,1,11.0,Sedikit
2025-01-02,APPLE TEA,21000.0,0.0,0,1,25.0,Sedang
2025-01-02,BANANAS COFFEE,28000.0,0.0,0,1,5.0,Sedikit
2025-01-02,BERRY TEA,21000.0,0.0,0,1,27.0,Sedang
2025-01-02,BISCOFF BUTTER,28000.0,2.0,56000,1,100.0,Banyak
2025-01-02,BLACKFOREST,28000.0,0.0,0,1,32.0,Sedang
2025-01-02,BLUE PARADISE,23000.0,0.0,0,1,11.0,Sedikit
2025-01-02,BUTTERSCOTH LATTE,25000.0,5.0,125000,1,148.0,Banyak
2025-01-02,CAKE VELVET,24000.0,0.0,0,1,44.0,Banyak
2025-01-02,CAPPUCINO,30000.0,2.0,60000,1,50.0,Banyak
2025-01-02,CARAMEL MACCHIATO,25000.0,5.0,125000,1,63.0,Banyak
2025-01-02,CHEESECAKE,26000.0,0.0,0,1,27.0,Sedang
2025-01-02,CHESEECAKE LATTE,25000.0,2.0,50000,1,54.0,Banyak
2025-01-02,CHICKEN KATSU,30000.0,1.0,30000,1,50.0,Banyak
2025-01-02,CHURROS,25000.0,1.0,25000,1,22.0,Sedang
2025-01-02,CIRENG,18000.0,6.0,108000,1,97.0,Banyak
2025-01-02,COFFEE LATTE,30000.0,1.0,30000,1,71.0,Banyak
2025-01-02,COOKIES N CREAM,25000.0,1.0,25000,1,32.0,Sedang
2025-01-02,CROFFLE ICE CREAM,26000.0,1.0,26000,1,44.0,Banyak
2025-01-02,DARK CHOCOLATE,24000.0,1.0,24000,1,72.0,Banyak
2025-01-02,ESPRESSO,19000.0,0.0,0,1,0.0,Sedikit
2025-01-02,FRENCH FRIES,19000.0,0.0,0,1,75.0,Banyak
2025-01-02,FRIED RICE ERTHREE,28000.0,4.0,112000,1,62.0,Banyak
2025-01-02,HAZELNUT LATTE,23000.0,3.0,69000,1,49.0,Banyak
2025-01-02,JAPANESE CHICKEN CURRY,31000.0,2.0,62000,1,43.0,Banyak
2025-01-02,JAVANESE,33000.0,0.0,0,1,5.0,Sedikit
2025-01-02,KEBAB,15000.0,2.0,30000,1,30.0,Sedang
2025-01-02,KOPI CREAM,23000.0,6.0,138000,1,161.0,Banyak
2025-01-02,LOVELY,25000.0,0.0,0,1,1.0,Sedikit
2025-01-02,LUMPIA,18000.0,4.0,72000,1,48.0,Banyak
2025-01-02,LYCHEE TEA,21000.0,2.0,42000,1,100.0,Banyak
2025-01-02,MANGO TEA,21000.0,1.0,21000,1,19.0,Sedang
2025-01-02,MATCHA CLOUD,24000.0,2.0,48000,1,89.0,Banyak
2025-01-02,MILO CREAM,25000.0,1.0,25000,1,143.0,Banyak
2025-01-02,MIX PLATTER,27000.0,5.0,135000,1,94.0,Banyak
2025-01-02,NAKTAMALA,27000.0,1.0,27000,1,13.0,Sedikit
2025-01-02,PANDAN LATTE,23000.0,3.0,69000,1,49.0,Banyak
2025-01-02,PEACH TEA,21000.0,1.0,21000,1,23.0,Sedang
2025-01-02,PEMPEK,20000.0,3.0,60000,1,67.0,Banyak
2025-01-02,PICCOLO,27000.0,0.0,0,1,9.0,Sedikit
2025-01-02,PISANG KEJU,20000.0,3.0,60000,1,77.0,Banyak
2025-01-02,RICE BEEF BLACKPAPER,33000.0,1.0,33000,1,29.0,Sedang
2025-01-02,RICE BEEF BULGOGI,33000.0,5.0,165000,1,55.0,Banyak
2025-01-02,RISOL MAYO,20000.0,3.0,60000,1,45.0,Banyak
2025-01-02,ROTI BAKAR,16000.0,1.0,16000,1,58.0,Banyak
2025-01-02,SEA SALTED CARAMEL LATTE,28000.0,0.0,0,1,29.0,Sedang
2025-01-02,SIGNATURE ERTHREE COFFEE,23000.0,9.0,207000,1,364.0,Banyak
2025-01-02,SINGKONG,18000.0,4.0,72000,1,63.0,Banyak
2025-01-02,SPAGHETTI BOLOGNESE,32000.0,1.0,32000,1,17.0,Sedang
2025-01-02,SPAGHETTI BRULLE,32000.0,0.0,0,1,22.0,Sedang
2025-01-02,SWEET HONEY KARAGE,30000.0,3.0,90000,1,60.0,Banyak
2025-01-02,TARO,24000.0,0.0,0,1,18.0,Sedang
2025-01-02,TIRAMISSYOU LATTE,28000.0,0.0,0,1,11.0,Sedikit
2025-01-02,TROPICAL MANGO,23000.0,1.0,23000,1,19.0,Sedang
2025-01-02,V60,30000.0,1.0,30000,1,26.0,Sedang
2025-01-02,VANILA REGAL,24000.0,1.0,24000,1,19.0,Sedang
2025-01-02,VIETNAM DRIP,25000.0,2.0,50000,1,40.0,Banyak
2025-01-03,AIR BIASA,5000.0,0.0,0,1,4.0,Sedikit
2025-01-03,AIR MINERAL (BESAR),7000.0,8.0,56000,1,277.0,Banyak
2025-01-03,AIR MINERAL (KECIL),5000.0,0.0,0,1,3.0,Sedikit
2025-01-03,ALVREDO PASTA,35000.0,0.0,0,1,7.0,Sedikit
2025-01-03,AMERICANO,27000.0,5.0,135000,1,174.0,Banyak
2025-01-03,APPLE FIZ,25000.0,0.0,0,1,11.0,Sedikit
2025-01-03,APPLE TEA,21000.0,0.0,0,1,25.0,Sedang
2025-01-03,BANANAS COFFEE,28000.0,0.0,0,1,5.0,Sedikit
2025-01-03,BERRY TEA,21000.0,2.0,42000,1,27.0,Sedang
2025-01-03,BISCOFF BUTTER,28000.0,6.0,168000,1,100.0,Banyak
2025-01-03,BLACKFOREST,28000.0,1.0,28000,1,32.0,Sedang
2025-01-03,BLUE PARADISE,23000.0,0.0,0,1,11.0,Sedikit
2025-01-03,BUTTERSCOTH LATTE,25000.0,3.0,75000,1,148.0,Banyak
2025-01-03,CAKE VELVET,24000.0,0.0,0,1,44.0,Banyak
2025-01-03,CAPPUCINO,30000.0,2.0,60000,1,50.0,Banyak
2025-01-03,CARAMEL MACCHIATO,25000.0,1.0,25000,1,63.0,Banyak
2025-01-03,CHEESECAKE,26000.0,1.0,26000,1,27.0,Sedang
2025-01-03,CHESEECAKE LATTE,25000.0,0.0,0,1,54.0,Banyak
2025-01-03,CHICKEN KATSU,30000.0,2.0,60000,1,50.0,Banyak
